0,4.38
1,4.17
2,3.67
3,4.18
4,3.34
5,2.14
6,12.9
7,5.0
8,5.01
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.01
15,4.0
16,5.97
17,3.49
18,1.35
19,2.89
20,0.464
21,0.034
22,1.03
23,3.83
24,3.31
25,2.82
26,0.747
27,2.39
28,2.07
29,3.07
30,2.2
31,2.38
32,3.96
33,2.34
34,2.79
35,2.21
36,0.329
37,0.566
38,0.646
39,0.351
40,0.476
41,1.22
42,5.65
43,6.33
44,4.8
45,3.76
46,4.79
47,3.76
48,4.2
49,4.67
50,5.75
51,7.07
52,9.09
53,5.57
54,6.12
55,4.88
56,5.81
57,3.23
58,4.2
59,2.69
60,2.49
61,1.11
62,3.29
63,3.33
64,3.26
65,0.816
66,0.034
67,1.14
68,0.884
69,0.555
70,0.634
71,2.03
72,4.01
73,3.83
74,4.75
75,3.68
76,3.0
77,3.32
78,4.44
79,4.87
80,3.56
81,2.87
82,7.18
83,3.43
84,4.53
85,4.5
86,4.86
87,5.75
88,5.44
89,0.691
90,0.691
91,0.736
92,0.918
93,0.974
94,0.725
95,0.306
96,0.555
97,0.532
98,0.601
99,0.578
100,0.6
101,0.748
102,0.442
103,0.997
104,0.0113
105,0.0
106,0.0
107,0.0
108,0.442
109,0.85
110,0.929
111,0.77
112,1.97
113,4.62
114,3.44
115,4.6
116,5.83
117,6.83
118,6.86
119,6.25
120,6.08
121,5.85
122,5.49
123,5.59
124,6.25
125,8.2
126,5.83
127,3.55
128,4.62
129,6.19
130,4.88
131,5.21
132,5.13
133,5.95
134,4.2
135,2.5
136,0.725
137,0.51
138,2.19
139,0.0566
140,0.419
141,2.12
142,1.05
143,2.66
144,0.34
145,0.544
146,0.578
147,0.396
148,1.21
149,0.952
150,1.46
151,3.3
152,4.52
153,0.985
154,0.0
155,0.0
156,0.0
157,0.0
158,0.59
159,0.895
160,2.48
161,0.748
162,1.46
163,2.82
164,3.53
165,2.56
166,2.36
167,4.63
168,2.47
169,0.362
170,0.0566
171,1.65
172,2.51
173,2.88
174,3.12
175,4.63
176,5.15
177,5.83
178,6.78
179,0.759
180,2.93
181,3.53
182,3.08
183,0.204
184,0.0
185,0.125
186,7.68
187,11.3
188,8.84
189,9.88
190,8.79
191,12.1
192,13.3
193,10.0
194,7.88
195,10.0
196,12.7
197,0.0227
198,2.28
199,6.17
200,5.03
201,3.68
202,1.43
203,2.88
204,2.63
205,4.24
206,3.76
207,3.95
208,2.82
209,1.12
210,1.83
211,6.75
212,8.83
213,8.35
214,8.15
215,2.37
216,4.42
217,3.39
218,3.83
219,3.87
220,3.5
221,0.85
222,0.351
223,0.397
224,0.748
225,0.578
226,1.12
227,1.27
228,0.374
229,4.37
230,6.56
231,2.89
232,4.26
233,4.29
234,3.16
235,0.544
236,0.136
237,1.63
238,5.98
239,6.38
240,5.8
241,0.0
242,0.0
243,0.204
244,3.15
245,5.07
246,5.72
247,4.61
248,5.17
249,6.15
250,3.73
251,0.668
252,1.26
253,0.6
254,0.0
255,0.0
256,0.0
257,0.0
258,5.82
259,12.0
260,12.2
261,12.2
262,14.2
263,14.2
264,7.47
265,0.963
266,2.96
267,2.58
268,0.0
269,0.0454
270,0.0
271,0.0567
272,0.634
273,0.0905
274,0.261
275,1.46
276,0.861
277,0.827
278,2.12
279,1.67
280,0.295
281,3.12
282,5.44
283,4.53
284,5.98
285,4.75
286,6.86
287,14.1
288,13.5
289,12.2
290,5.68
291,8.99
292,13.0
293,9.53
294,8.19
295,10.4
296,7.42
297,4.52
298,3.41
299,2.73
300,1.34
301,3.12
302,4.06
303,6.0
304,9.99
305,10.0
306,1.42
307,0.725
308,2.59
309,3.16
310,2.28
311,2.68
312,3.51
313,3.42
314,0.181
315,0.397
316,0.657
317,1.97
318,2.74
319,2.85
320,2.42
321,1.16
322,2.37
323,0.838
324,0.193
325,0.102
326,0.068
327,0.396
328,3.09
329,3.66
